SMILES,LogS,MolWt,LogP,EState_VSA5,TPSA,NumHAcc,NumAromaticRings,HeavyAtomCount,RingCount,qed,NumHDonors,NOCount
CCCCC1(CC)C(=O)NC(=O)NC1=O,-1.661,212.249,0.9389999999999998,0.0,75.27000000000001,3.0,0.0,15.0,1.0,0.6807977437487818,2.0,5.0
ClC(Cl)=C(c1ccc(Cl)cc1)c2ccc(Cl)cc2,-6.9,318.0300000000001,6.187900000000003,0.0,0.0,0.0,2.0,18.0,2.0,0.6193259253894802,0.0,0.0
CCCCCCCC(=O)OC,-3.17,158.24099999999999,2.5199000000000007,26.372262410055562,26.3,2.0,0.0,11.0,0.0,0.4383150695699537,0.0,2.0
CCc1ccc(CC)cc1,-3.75,134.22199999999998,2.811400000000001,11.126902983393991,0.0,0.0,1.0,10.0,1.0,0.5831204703949601,0.0,0.0
CCOP(=S)(OCC)SCSC(C)(C)C,-4.755,288.44,4.506300000000004,0.0,18.46,5.0,0.0,15.0,0.0,0.5052290262688,0.0,2.0
COC(=O)Nc1cccc(OC(=O)Nc2cccc(C)c2)c1,-4.805,300.314,3.784220000000002,13.176164609739143,76.66,4.0,2.0,22.0,2.0,0.9039154808102652,2.0,6.0
ClC(=C)Cl,-1.64,96.94399999999999,1.9352,0.0,0.0,0.0,0.0,4.0,0.0,0.43279836435192465,0.0,0.0
Cc1cccc2c1Cc3ccccc32,-5.22,180.25000000000003,3.566220000000002,27.817257458484978,0.0,0.0,2.0,14.0,3.0,0.4958738530083485,0.0,0.0
CCCCC=O,-0.85,86.13399999999999,1.3755,0.0,17.07,1.0,0.0,6.0,0.0,0.3742788667470001,0.0,1.0
N(c1ccccc1)c2ccccc2,-3.504,169.227,3.430200000000002,0.0,12.03,1.0,2.0,13.0,2.0,0.7258030102508874,1.0,1.0
CN(C)C(=O)SCCCCOc1ccccc1,-3.927,253.367,3.2604000000000024,11.761884949391115,29.540000000000003,3.0,1.0,17.0,1.0,0.7287642620112318,0.0,3.0
CCCOP(=S)(OCCC)SCC(=O)N1CCCCC1C,-4.15,353.4900000000001,4.198300000000004,17.802546419039167,38.77,5.0,0.0,21.0,1.0,0.5810206379914955,0.0,4.0
CCCCCCCI,-4.81,226.101,3.3918000000000026,36.53166051692446,0.0,0.0,0.0,8.0,0.0,0.3826113647877999,0.0,0.0
c1c(Cl)cccc1c2ccccc2,-4.88,188.657,4.007000000000002,5.563451491696996,0.0,0.0,2.0,13.0,2.0,0.6346172430604237,0.0,0.0
OCCCC=C,-0.15,86.134,0.9449,0.0,20.23,1.0,0.0,6.0,0.0,0.4001336986423082,1.0,1.0
O=C2NC(=O)C1(CCC1)C(=O)N2,-1.655,168.15200000000002,-0.4773,0.0,75.27,3.0,0.0,12.0,2.0,0.47963599310816585,2.0,5.0
CC(C)C1CCC(C)CC1O ,-2.53,156.269,2.439500000000001,12.841643245852019,20.23,1.0,0.0,11.0,1.0,0.6179494584335713,1.0,1.0
CC(C)OC=O,-0.63,88.106,0.5678,0.0,26.3,2.0,0.0,6.0,0.0,0.46105992334255624,0.0,2.0
CCCCCC(C)O,-1.55,116.20399999999998,1.9475000000000002,19.26246486877803,20.23,1.0,0.0,8.0,0.0,0.556461802116396,1.0,1.0
CC(=O)Nc1ccc(Br)cc1,-3.083,214.06199999999998,2.4074999999999998,6.923737199690624,29.1,1.0,1.0,11.0,1.0,0.7634923555638264,1.0,2.0
c1ccccc1n2ncc(N)c(Br)c2(=O),-3.127,266.098,1.5771999999999997,10.878646506758262,60.910000000000004,4.0,2.0,15.0,2.0,0.8518878759372244,1.0,4.0
COC(=O)C1=C(C)NC(=C(C1c2ccccc2N(=O)=O)C(=O)OC)C ,-4.76,346.33900000000017,2.1756,32.418696287939895,107.77,7.0,1.0,25.0,2.0,0.5055052971214054,1.0,8.0
c2c(C)cc1nc(C)ccc1c2 ,-1.94,157.216,2.8516400000000006,10.949675706161791,12.89,1.0,2.0,12.0,2.0,0.5726675494686,0.0,1.0
CCCCCCC#C,-3.66,110.19999999999999,2.5900000000000007,25.683286491704038,0.0,0.0,0.0,8.0,0.0,0.38520571915711904,0.0,0.0
CCC1(C(=O)NC(=O)NC1=O)C2=CCCCC2 ,-2.17,236.27099999999993,1.2491999999999999,0.0,75.27000000000001,3.0,0.0,17.0,2.0,0.5593503134569083,2.0,5.0
c1ccc2c(c1)ccc3c4ccccc4ccc23,-8.057,228.29399999999998,5.146200000000003,32.31734528678877,0.0,0.0,4.0,18.0,4.0,0.36517781288626444,0.0,0.0
CCC(C)n1c(=O)[nH]c(C)c(Br)c1=O ,-2.523,261.11899999999997,1.5785200000000001,4.567099647791355,54.86,3.0,1.0,14.0,1.0,0.8781961394589669,1.0,4.0
Clc1cccc(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-8.6,360.88200000000006,7.274000000000001,6.06636706846161,0.0,0.0,2.0,18.0,2.0,0.4687210242976453,0.0,0.0
Cc1ccccc1O,-0.62,108.13999999999999,1.70062,0.0,20.23,1.0,1.0,8.0,1.0,0.5359354364287862,1.0,1.0
CC(C)CCC(C)(C)C,-5.05,128.259,3.468700000000003,12.841643245852019,0.0,0.0,0.0,9.0,0.0,0.5339051517407362,0.0,0.0
Cc1ccc(C)c2ccccc12,-4.14,156.228,3.456640000000002,21.899351412323583,0.0,0.0,2.0,12.0,2.0,0.5476492453414699,0.0,0.0
Cc1cc2c3ccccc3ccc2c4ccccc14,-6.57,242.321,5.454620000000004,37.880796778485774,0.0,0.0,4.0,19.0,4.0,0.3593465920364741,0.0,0.0
CCCC(=O)C,-0.19,86.13399999999999,1.3755,0.0,17.07,1.0,0.0,6.0,0.0,0.4957688321065221,0.0,1.0
Clc1cc(Cl)c(Cl)c(c1Cl)c2c(Cl)c(Cl)cc(Cl)c2Cl ,-9.15,429.77200000000016,8.580799999999998,12.13273413692322,0.0,0.0,2.0,20.0,2.0,0.39807101501903286,0.0,0.0
CCCOC(=O)CC,-0.82,116.15999999999998,1.3496000000000001,0.0,26.3,2.0,0.0,8.0,0.0,0.5200986676423001,0.0,2.0
CC34CC(O)C1(F)C(CCC2=CC(=O)C=CC12C)C3CC(O)C4(O)C(=O)CO,-3.68,394.43900000000014,0.6204999999999998,18.228060320501644,115.06000000000002,6.0,0.0,28.0,4.0,0.545907213602937,4.0,6.0
Nc1ccc(O)cc1,-0.8,109.12799999999999,0.9743999999999999,0.0,46.25,2.0,1.0,8.0,1.0,0.3849667558355937,2.0,2.0
O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,-2.81,260.253,1.1077,16.960786791017508,90.06,5.0,2.0,19.0,2.0,0.6436381792760206,1.0,7.0
OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,-5.931,366.84400000000016,5.505100000000005,5.563451491696996,54.37,3.0,2.0,26.0,4.0,0.7624360043780398,1.0,3.0
CCNc1nc(Cl)nc(n1)N(CC)CC,-4.06,229.71499999999997,1.803,0.0,53.940000000000005,5.0,1.0,15.0,1.0,0.8346861420389335,1.0,5.0
NC(=O)c1cnccn1,-0.667,123.11499999999998,-0.4245000000000001,18.59053071483923,68.87,3.0,1.0,9.0,1.0,0.5507568071868295,1.0,4.0
CCC(Br)(CC)C(=O)NC(N)=O,-2.68,237.09699999999998,1.1349999999999998,0.0,72.19,2.0,0.0,12.0,0.0,0.7220176852684498,2.0,4.0
Clc1ccccc1c2ccccc2Cl ,-5.27,223.102,4.660400000000002,0.0,0.0,0.0,2.0,14.0,2.0,0.6589511753025439,0.0,0.0
O=C2CN(N=Cc1ccc(o1)N(=O)=O)C(=O)N2 ,-3.38,238.15899999999996,0.07349999999999995,6.06636706846161,118.04999999999998,6.0,1.0,17.0,2.0,0.34574784602989994,1.0,9.0
Clc2ccc(Oc1ccc(cc1)N(=O)=O)c(Cl)c2,-5.46,284.09799999999996,4.693900000000003,24.26546827384644,52.37,3.0,2.0,18.0,2.0,0.6062690853537354,0.0,4.0
CC1(C)C2CCC1(C)C(=O)C2,-1.96,152.237,2.401700000000001,6.4208216229260096,17.07,1.0,0.0,11.0,2.0,0.520631018455888,0.0,1.0
O=C1NC(=O)NC(=O)C1(CC=C)c1ccccc1,-2.369,244.25,0.8664999999999998,6.076020106833881,75.27000000000001,3.0,1.0,18.0,2.0,0.611518381370429,2.0,5.0
CCCCC(=O)OCC,-2.25,130.18699999999998,1.7397,0.0,26.3,2.0,0.0,9.0,0.0,0.5416729314973412,0.0,2.0
CC(C)CCOC(=O)C,-1.92,130.18699999999998,1.5956000000000001,6.923737199690624,26.3,2.0,0.0,9.0,0.0,0.5422095914375366,0.0,2.0
O=C1N(COC(=O)CCCCC)C(=O)C(N1)(c2ccccc2)c3ccccc3,-5.886,380.444,3.5630000000000024,0.0,75.71,4.0,2.0,28.0,3.0,0.43157785764433015,1.0,6.0
Clc1cccc(c1)c2cc(Cl)ccc2Cl ,-6.01,257.547,5.313800000000001,0.0,0.0,0.0,2.0,15.0,2.0,0.6489454818006694,0.0,0.0
CCCBr,-1.73,122.993,1.7913000000000001,6.4208216229260096,0.0,0.0,0.0,4.0,0.0,0.4659881510679793,0.0,0.0
CCCC1COC(Cn2cncn2)(O1)c3ccc(Cl)cc3Cl,-3.493,342.2260000000001,3.653400000000003,6.3273200747645415,49.17,5.0,2.0,22.0,3.0,0.8322004475531347,0.0,5.0
COP(=S)(OC)SCC(=O)N(C)C=O,-1.995,257.27299999999997,0.8516999999999999,21.267267065232257,55.84,6.0,0.0,14.0,0.0,0.5192128575880584,0.0,5.0
Cc1ncnc2nccnc12,-0.466,146.15299999999996,0.7282199999999999,6.3273200747645415,51.56,4.0,2.0,11.0,2.0,0.549356711982726,0.0,4.0
NC(=S)N,0.32,76.12400000000001,-0.8113000000000001,0.0,52.04,1.0,0.0,4.0,0.0,0.370873527205618,2.0,2.0
Cc1ccc(C)cc1,-2.77,106.16799999999999,2.30344,11.126902983393991,0.0,0.0,1.0,8.0,1.0,0.4757576853403211,0.0,0.0
CCc1ccccc1CC,-3.28,134.22199999999998,2.811400000000001,11.126902983393991,0.0,0.0,1.0,10.0,1.0,0.5831204703949601,0.0,0.0
ClC(Cl)(Cl)C(Cl)(Cl)Cl,-3.67,236.74,3.7268,0.0,0.0,0.0,0.0,8.0,0.0,0.5625816127094442,0.0,0.0
CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,-6.876,451.46900000000005,6.627980000000005,12.13273413692322,68.55000000000001,5.0,3.0,33.0,3.0,0.3417339641015032,0.0,5.0
CCCN(=O)=O,-0.8,89.09399999999998,0.6731,0.0,43.14,2.0,0.0,6.0,0.0,0.3683783959320464,0.0,3.0
CC(C)C1CCC(C)CC1=O,-2.35,154.253,2.6477000000000013,6.4208216229260096,17.07,1.0,0.0,11.0,1.0,0.567161437022081,0.0,1.0
CCN2c1cc(Cl)ccc1NC(=O)c3cccnc23 ,-5.36,273.723,3.458700000000001,0.0,45.230000000000004,3.0,2.0,19.0,3.0,0.8653881391313841,1.0,4.0
O=N(=O)c1c(Cl)c(Cl)ccc1,-3.48,192.00100000000003,2.901600000000001,18.19910120538483,43.14,2.0,1.0,11.0,1.0,0.5065691418971879,0.0,3.0
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O ,-3.46,254.35500000000002,1.5159999999999998,0.0,58.2,3.0,0.0,17.0,1.0,0.4440914917068062,2.0,4.0
c1ccc2c(c1)c3cccc4cccc2c34,-6.0,202.25599999999997,4.487200000000002,33.02625439571757,0.0,0.0,3.0,16.0,4.0,0.39392556622003977,0.0,0.0
CCCOC(C)C,-1.34,102.17699999999998,1.8214000000000001,0.0,9.23,1.0,0.0,7.0,0.0,0.527838421936117,0.0,1.0
Cc1cc(C)c2ccccc2c1,-4.29,156.22799999999998,3.456640000000002,21.899351412323583,0.0,0.0,2.0,12.0,2.0,0.5476492453414697,0.0,0.0
CCC(=C(CC)c1ccc(O)cc1)c2ccc(O)cc2 ,-4.07,268.356,4.828600000000005,11.146209060138535,40.46,2.0,2.0,20.0,2.0,0.7796984854737203,2.0,2.0
c1(C#N)c(Cl)c(C#N)c(Cl)c(Cl)c(Cl)1,-5.64,265.914,4.043559999999999,0.0,47.58,2.0,1.0,14.0,1.0,0.5249703621195863,0.0,2.0
Clc1ccc(Cl)c(c1)c2ccc(Cl)c(Cl)c2,-7.25,291.992,5.967200000000002,0.0,0.0,0.0,2.0,16.0,2.0,0.6072884054188123,0.0,0.0
C1OC1c2ccccc2 ,-1.6,120.15099999999995,1.7579,5.563451491696996,12.53,1.0,1.0,9.0,2.0,0.5142788287632906,0.0,1.0
CC(C)c1ccccc1,-3.27,120.19499999999995,2.8100000000000014,5.563451491696996,0.0,0.0,1.0,9.0,1.0,0.5342617380464315,0.0,0.0
CC12CCC3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,-3.45,330.4680000000001,3.695900000000003,18.414747775921285,54.370000000000005,3.0,0.0,24.0,4.0,0.8398032346789406,1.0,3.0
c2(Cl)c(Cl)c(Cl)c1nccnc1c2(Cl) ,-5.43,267.93,4.2434,12.393687143226153,25.78,2.0,2.0,14.0,2.0,0.5270019003119097,0.0,2.0
C1OC(O)C(O)C(O)C1O,0.39,150.13,-2.5823000000000005,0.0,90.15,5.0,0.0,10.0,1.0,0.3042503204978373,4.0,5.0
ClCCl,-0.63,84.93299999999999,1.4215,0.0,0.0,0.0,0.0,3.0,0.0,0.3899621067041534,0.0,0.0
CCc1cccc2ccccc12,-4.17,156.22799999999998,3.4022000000000023,16.335899920626588,0.0,0.0,2.0,12.0,2.0,0.5932475127165551,0.0,0.0
COC=O,0.58,60.05200000000001,-0.2108000000000001,7.109797541277533,26.3,2.0,0.0,4.0,0.0,0.3912258247330487,0.0,2.0
Oc1ccccc1N(=O)=O,-1.74,139.10999999999999,1.3004000000000002,24.26546827384644,63.37,3.0,1.0,10.0,1.0,0.47072821158342537,1.0,4.0
Cc1c[nH]c(=O)[nH]c1=O ,-1.506,126.115,-0.6283800000000002,6.196843571613076,65.72,2.0,1.0,9.0,1.0,0.4857813089921775,2.0,4.0
CC(C)C,-2.55,58.123999999999995,1.6622999999999999,0.0,0.0,0.0,0.0,4.0,0.0,0.3971180036971562,0.0,0.0
OCC1OC(C(O)C1O)n2cnc3c(O)ncnc23,-1.23,268.22900000000004,-1.8566000000000003,10.894419722555895,133.75,9.0,2.0,19.0,3.0,0.49812677934883093,4.0,9.0
Oc1c(I)cc(C#N)cc1I,-3.61,370.91499999999996,2.4730799999999995,0.0,44.019999999999996,2.0,1.0,11.0,1.0,0.7128779442974936,1.0,2.0
Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)N(=O)=O,-4.7,327.1230000000001,3.8595000000000006,30.33183534230805,92.47,4.0,2.0,21.0,2.0,0.6611804498474478,2.0,6.0
CCCCC,-3.18,72.151,2.1965000000000003,19.26246486877803,0.0,0.0,0.0,5.0,0.0,0.46878550980113315,0.0,0.0
c1ccccc1O,0.0,94.11299999999999,1.3922,0.0,20.23,1.0,1.0,7.0,1.0,0.514729544768675,1.0,1.0
Nc3ccc2cc1ccccc1cc2c3 ,-5.17,193.249,3.5752000000000015,21.544896857859182,26.02,1.0,3.0,15.0,3.0,0.42835853156085796,1.0,1.0
Cn1cnc2n(C)c(=O)[nH]c(=O)c12 ,-2.523,180.16699999999997,-1.0397,10.894419722555895,72.68,5.0,2.0,13.0,2.0,0.5624722357827983,1.0,6.0
c1ccc2cnccc2c1,-1.45,129.16199999999998,2.2348,10.772448428929591,12.89,1.0,2.0,10.0,2.0,0.5311915584041306,0.0,1.0
COP(=S)(OC)SCC(=O)N(C(C)C)c1ccc(Cl)cc1,-4.432,367.86,4.331900000000004,25.601319878668228,38.77,5.0,1.0,21.0,1.0,0.6704591166393922,0.0,4.0
CCCCCCc1ccccc1,-5.21,162.276,3.809400000000003,37.667559606327046,0.0,0.0,1.0,12.0,1.0,0.5774504107669273,0.0,0.0
Clc1ccccc1c2ccccc2,-4.54,188.657,4.007000000000002,0.0,0.0,0.0,2.0,13.0,2.0,0.6346172430604237,0.0,0.0
CCCC(=C)C,-3.03,84.16199999999999,2.3626000000000005,18.414747775921285,0.0,0.0,0.0,6.0,0.0,0.45042281256419275,0.0,0.0
CC(C)C(C)C(C)C,-4.8,114.23199999999999,2.9345000000000017,0.0,0.0,0.0,0.0,8.0,0.0,0.5174907689766356,0.0,0.0
Clc1cc(Cl)c(Cl)c(Cl)c1Cl,-5.65,250.339,4.9536,6.06636706846161,0.0,0.0,1.0,11.0,1.0,0.4510272795995529,0.0,0.0
Oc1cccc(c1)N(=O)=O,-1.01,139.10999999999999,1.3003999999999998,18.19910120538483,63.37,3.0,1.0,10.0,1.0,0.47072821158342537,1.0,4.0
CCCCCCCCC=C,-5.51,140.26999999999998,3.9230000000000036,44.94575136048208,0.0,0.0,0.0,10.0,0.0,0.37115110068804846,0.0,0.0
CC(=O)OCC(COC(=O)C)OC(=O)C,-0.6,218.20499999999998,0.044299999999999784,20.771211599071872,78.9,6.0,0.0,15.0,0.0,0.47869816055379727,0.0,6.0
CCCCc1c(C)nc(nc1O)N(C)C ,-2.24,209.29299999999998,1.89922,0.0,49.25000000000001,4.0,1.0,15.0,1.0,0.822452910441492,1.0,4.0
CC1(C)C(C=C(Cl)Cl)C1C(=O)OC(C#N)c2ccc(F)c(Oc3ccccc3)c2,-7.337,434.29400000000015,6.317080000000003,18.19910120538483,59.32000000000001,4.0,2.0,29.0,3.0,0.4997263580973889,0.0,4.0
c1ccncc1,0.76,79.10199999999998,1.0816,0.0,12.89,1.0,1.0,6.0,1.0,0.4531479654842905,0.0,1.0
CCCCCCCBr,-4.43,179.101,3.351700000000002,37.43419776169148,0.0,0.0,0.0,8.0,0.0,0.44804533965953225,0.0,0.0
Cc1ccncc1C,0.36,107.15599999999999,1.69844,11.126902983393991,12.89,1.0,1.0,8.0,1.0,0.49138777691763613,0.0,1.0
CC34CC(O)C1(F)C(CCC2=CC(=O)CCC12C)C3CCC4(O)C(=O)CO ,-3.43,380.45600000000013,1.8737,0.0,94.83,5.0,0.0,27.0,4.0,0.6798949641188834,3.0,5.0
CCSCc1ccccc1OC(=O)NC ,-2.09,225.313,2.6579000000000006,0.0,38.33,3.0,1.0,15.0,1.0,0.8557628475820134,1.0,3.0
CCOC(=O)CC(=O)OCC,-0.82,160.16899999999998,0.5027,0.0,52.60000000000001,4.0,0.0,11.0,0.0,0.44365975987439943,0.0,4.0
CC1=CCC(CC1)C(C)=C,-4.26,136.238,3.308900000000002,24.835569398847298,0.0,0.0,0.0,10.0,1.0,0.48503449155951595,0.0,0.0
C1Cc2ccccc2C1,-3.04,118.17899999999997,2.1753,19.26246486877803,0.0,0.0,1.0,9.0,2.0,0.48947695058073354,0.0,0.0
CC(C)(C)c1ccc(O)cc1,-2.41,150.22099999999998,2.689700000000001,5.563451491696996,20.23,1.0,1.0,11.0,1.0,0.602501219487069,1.0,1.0
O=C2NC(=O)C1(CC1)C(=O)N2 ,-1.886,154.125,-0.8674000000000002,0.0,75.27,3.0,0.0,11.0,2.0,0.44528469853178226,2.0,5.0
Clc1cccc(I)c1,-3.55,238.45499999999998,2.9446000000000003,3.5701822710653963,0.0,0.0,1.0,8.0,1.0,0.6097329936321872,0.0,0.0
Brc1cccc2ccccc12,-4.35,207.07,3.6023000000000014,10.772448428929591,0.0,0.0,2.0,11.0,2.0,0.6185548726384287,0.0,0.0
CC/C=C/C,-2.54,70.135,1.9725,0.0,0.0,0.0,0.0,5.0,0.0,0.41363968044003097,0.0,0.0
Cc1cccc(C)n1,0.45,107.156,1.69844,0.0,12.89,1.0,1.0,8.0,1.0,0.49138777691763613,0.0,1.0
ClC=C(Cl)Cl,-1.96,131.389,2.5017000000000005,0.0,0.0,0.0,0.0,5.0,0.0,0.4737750586148194,0.0,0.0
Nc1cccc2ccccc12,-1.92,143.189,2.4220000000000006,5.386224214464796,26.02,1.0,2.0,11.0,2.0,0.5629544406745024,1.0,1.0
Cc1cccc(C)c1,-2.82,106.16799999999999,2.30344,11.126902983393991,0.0,0.0,1.0,8.0,1.0,0.4757576853403211,0.0,0.0
Oc2ncc1nccnc1n2,-1.947,148.125,0.1253999999999998,12.393687143226153,71.79,5.0,2.0,11.0,2.0,0.5742852876417615,1.0,5.0
CO,1.57,32.042,-0.3915,0.0,20.23,1.0,0.0,2.0,0.0,0.3852844044738431,1.0,1.0
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.468,226.27599999999998,1.1849999999999998,0.0,75.27000000000001,3.0,0.0,16.0,1.0,0.7067836690245718,2.0,5.0
CCC(=O)C,0.52,72.107,0.9854,0.0,17.07,1.0,0.0,5.0,0.0,0.45105080502496187,0.0,1.0
Fc1c[nH]c(=O)[nH]c1=O ,-1.077,130.078,-0.7977000000000001,0.0,65.72,2.0,1.0,9.0,1.0,0.4825645029084629,2.0,4.0
Nc1ncnc2n(ccc12)C3OC(CO)C(O)C3O ,-1.95,266.257,-1.3750000000000007,6.3273200747645415,126.65,8.0,2.0,19.0,3.0,0.5275658981283201,4.0,8.0
Oc1cccc(O)c1,0.81,110.11199999999998,1.0977999999999999,18.19910120538483,40.46,2.0,1.0,8.0,1.0,0.5245841402909771,2.0,2.0
CCCCCCO,-1.24,102.17699999999999,1.559,19.26246486877803,20.23,1.0,0.0,7.0,0.0,0.5339278817039772,1.0,1.0
CCCCCCl,-2.73,106.596,2.415400000000001,19.26246486877803,0.0,0.0,0.0,6.0,0.0,0.38299507688259254,0.0,0.0
C=CC=C,-1.87,54.09199999999999,1.3584,0.0,0.0,0.0,0.0,4.0,0.0,0.39633396868140924,0.0,0.0
CCCOC(=O)C,-0.72,102.13299999999998,0.9595,6.923737199690624,26.3,2.0,0.0,7.0,0.0,0.485245073645189,0.0,2.0
Oc2ccc1CCCCc1c2 ,-1.99,148.205,2.271,30.38936785217202,20.23,1.0,1.0,11.0,2.0,0.5980337751938362,1.0,1.0
NC(=O)CCl ,-0.02,93.513,-0.2895000000000001,0.0,43.09,1.0,0.0,5.0,0.0,0.4450443872218326,1.0,2.0
COP(=S)(OC)Oc1cc(Cl)c(I)cc1Cl,-6.62,413.0,4.494100000000002,14.219595082555067,27.69,4.0,1.0,16.0,1.0,0.41330311039953566,0.0,3.0
Cc1ccc(Cl)cc1,-3.08,126.586,2.6484200000000007,5.563451491696996,0.0,0.0,1.0,8.0,1.0,0.5015016660067645,0.0,0.0
CSc1nnc(c(=O)n1N)C(C)(C)C,-2.253,214.29399999999998,0.3714999999999997,11.761884949391115,73.8,6.0,1.0,14.0,1.0,0.5398609311816175,1.0,5.0
Cc1ccc(OP(=O)(Oc2cccc(C)c2)Oc3ccccc3C)cc1,-6.01,368.3690000000001,6.256760000000005,0.0,44.760000000000005,4.0,3.0,26.0,3.0,0.48200363092194987,0.0,4.0
